author,published_at,like_count,text,public,video_id
@Athaya931,2026-04-23T15:59:15Z,0,"Rakyat itu dah tahu bahwa program MBG itu membawa hal negatip dan negatip...
Dan TDK menguntungkan rakyat..
Malah menjadi beban rakyat.
itupun yg di untungkan orang kaya dan pejabat aja..
Lihat aja dan semakin secara detail...
Yang kaya semakin kaya..
Dan itupun akan membawa dampak hancurnya ekonomi Indonesia...
Hampir 85% rakyat menolak adanya MBG..
Karena bikin susah dan resah kepada rakyat..
Bubarkan MBG..",True,lmcwEO9Lqe8
@AldiyusufPurnama,2026-04-23T13:53:46Z,0,Mbg bisnis para orang orang berduwit.,True,lmcwEO9Lqe8
@AsepBasit-jb2jd,2026-04-23T11:16:17Z,0,Mbg. Proyek. Korupsi.   Gila. Gilaan   stop. Lah. Uang. Rakyat. Hasil. Pajak,True,lmcwEO9Lqe8
@Athaya931,2026-04-23T06:55:21Z,0,"Bagi rakyat MBG itu di nilai negatip...
karena MBG suatu yg sangat merugikan rakyat...
Dan yg di untungkan cuma orang kaya dan pejabat...
Ini menjadikan suatu bisnis dan proyek yg di berikan pemerintah tapi cuma orang kaya dan pejabat...
Rakyat kecil cuma jadi penonton dan pendengar...
Tapi dampak dari MBG besar sekali...
1.Menguras anggaran yg sangat besar.
2..merugikan rakyat kecil.
3.Tidak manfaatnya.
4. bahan pokok naik.
5.Pendidikkan di asingkan.
6.Kesehatan juga di kalahkan.
7. Dan masih banyak dampak dari MBG...
Padahal gak pada di makan, masih menguras anggaran.
Itupun yg di untungkan orang kaya dan pejabat..
Pemerintah koclok dan koclok...gak di pikir matang matang...
Ini suatu kegagalan dalam pemerintah saat ini....
Bubarkan MBG...",True,lmcwEO9Lqe8
@pa4893,2026-04-23T02:31:42Z,0,"Awalnua bagus sihh rencananya tapi saat di jalankan mulai lahh sifat penjajah aslinya muncul para pegusaha yg niatnya untuk memutar ekonomi rakyat bawah nyatanya semua belanjaan berkerja sama dengan pengusaha lain bukan mengambil dari lokasi berdirinya MBG, yg awalnya juga membuka lapangan kerja nyatanya hanya untuk orang terdekat yg mendirikan MBG, yg awalnya tentang gizi sekarang menyebar sampai ke kendaraan operasional di saat badan pemerintah dan badan negara lainnya yg harus mengerem pengeluaran/ efisiensi, harus nya ada tim audit dari negara yg mengecek apakah dana tersalurkan dengan benar atau ada permainan😊 kalau ada permainan di dalam saya harap semua transparan kepada masyarakat jangan biarkan  penjajah muncul dari bangsa sendiri😊",True,lmcwEO9Lqe8
@CahyaSaputra-c7t,2026-04-23T02:27:44Z,0,Ngotot mbg karena tak bisa dengar lihat dan mikir jeritan  rakyat,True,lmcwEO9Lqe8
@randosijabat3325,2026-04-23T00:59:51Z,0,Praktek korupsi yg terselubung,True,lmcwEO9Lqe8
@DaskamsumartoDaskam,2026-04-22T14:03:16Z,0,Aneh program persiden emangtidakada kerjaan?ujug ujug bikin dapur nasional emang rayat yangmana yansedang kelaparan? Inimah kerjaan anak SD anehhh😂,True,lmcwEO9Lqe8
@turtelepratama6112,2026-04-22T06:19:12Z,0,Gue mau para pekerja mbg gak ikut pemilu. Kalo ikut pemilu jelas mereka akan memilih prabowo lagi karena kalo enggak mereka akan kehilangan pekerjaan dan hal ini jadi membuat pemilu besok gak demokratis lagi,True,lmcwEO9Lqe8
@AndriKevinKevin,2026-04-22T04:25:49Z,0,Potensi korupsi ya gila,True,lmcwEO9Lqe8
@BaLuGu_99,2026-04-21T15:26:21Z,0,Bapak ibu Dewan² perwakilan Pada kemana ini... Kok gak ada yang bersuara,True,lmcwEO9Lqe8
@suparyanto985,2026-04-21T09:44:16Z,0,Terbesar dan terbusuk dan terbodoh dari rezim prabowo....,True,lmcwEO9Lqe8
@azam2241,2026-04-20T11:57:09Z,0,"Sayang sekali uang ratusan terliun hanya jaditai, ini mau niru cerita nabi sulaiman yg mau memberi semua mahluk, tapi kalau nabi pake duit sendiri dan pada akhirnya dia juga angkat tangan",True,lmcwEO9Lqe8
@boimbaelah,2026-04-20T03:15:37Z,0,"Kampanye ""food waste"" sekarang malah terkendala dengan adanya makanan sisa embege. Berapa ompreng yg tersisa gara2 penerima manfaat tidak mau menghabiskannya 🙄",True,lmcwEO9Lqe8
@FaidzinFirdhaus,2026-04-20T00:53:33Z,0,"langsung cepetin speed nya 1,5 x 😅",True,lmcwEO9Lqe8
@CobaLagiplay,2026-04-19T21:25:57Z,1,Napa di sekolah ku belum ada😢,True,lmcwEO9Lqe8
@tangtaryana87,2026-04-19T07:04:45Z,0,"Jdi beban negara ,bahan baku setiap tahun harga naik dan tidak mungkin akan cukup dg 15rb ,qrtinya beban anggaran akan naik dan jadi beban berat ,itu kenapa banyak paorsi yg tidak standar gizi ,ujung ujung nya stanting takan teratasi.",True,lmcwEO9Lqe8
@adxnt8370,2026-04-19T05:26:38Z,0,Yg dimakan para murid 20% peralatan 20% 60% buat bancakan rebutan para maling,True,lmcwEO9Lqe8
